"","pl_101","pl_102","pl_104","pl_106","pl_107","pl_111","pl_112","pl_113","pl_118","pl_119"
"LOC111321015",0,0,0,0,2,0,0,1,0,0
"LOC111321026",0,0,0,0,1,0,1,0,0,0
"Trnat-ugu",0,0,0,0,0,0,0,0,0,0
"LOC111321321",3,2,1,1,3,5,0,1,4,2
"LOC111321291",16,23,18,13,18,11,36,41,36,33
"LOC111321780",4,5,0,1,0,4,6,6,1,0
"LOC111321042",1,1,0,0,0,0,0,5,0,0
"LOC111320812",0,4,0,1,1,0,0,1,0,0
"LOC111320787",6,6,6,2,2,5,2,6,7,7
"LOC111322159",11,8,3,5,3,3,1,6,5,9
"LOC111320684",1,0,0,1,0,0,0,1,1,1
"LOC111321632",104,87,47,42,63,75,51,66,72,88
"LOC111321560",56,42,37,26,32,27,36,65,41,55
"LOC111322179",0,2,1,1,0,2,1,1,0,2
"LOC111320823",72,61,34,14,31,52,34,61,41,50
"LOC111320836",21,13,5,6,14,17,7,12,13,15
"LOC111321799",47,22,10,15,19,16,12,28,28,32
"LOC111320845",19,15,13,6,9,1,1,9,8,1
"LOC111320872",0,0,1,0,0,0,0,0,0,0
"LOC111320776",32,30,10,7,12,10,14,28,10,27
"LOC111320770",60,64,12,9,16,18,29,44,37,39
"LOC111322255",8,7,3,0,3,1,5,4,1,2
"LOC111321533",3,2,0,0,2,1,2,0,0,1
"LOC111321539",3,3,6,3,2,5,5,3,2,8
"LOC111322190",5,2,3,4,2,2,1,3,6,1
"LOC111321464",2,2,1,2,1,3,0,0,1,1
"LOC111321474",0,0,0,0,0,0,0,0,0,0
"LOC111322026",0,1,0,0,0,0,0,0,1,0
"Trnas-aga",0,1,0,0,0,0,0,0,0,0
"LOC111322017",3,3,1,1,1,2,0,3,1,4
"LOC111322092",17,30,3,9,11,10,7,6,14,13
"LOC111322079",51,72,31,16,33,25,44,52,41,51
"LOC111322108",3,1,0,0,0,3,1,0,0,0
"LOC111322115",51,56,34,24,31,37,19,55,31,40
"LOC111322128",7,2,4,2,0,4,3,3,3,3
"LOC111322138",1,4,0,0,0,0,2,3,0,0
"LOC111321051",9,15,3,9,10,10,4,9,12,10
"LOC111322172",13,8,3,3,6,11,5,7,3,6
"LOC111321642",0,0,0,0,0,0,0,0,0,0
"LOC111322225",0,6,0,0,1,0,0,0,0,1
"LOC111321062",4,1,1,0,2,0,1,1,0,2
"LOC111321733",23,22,7,4,5,16,6,9,8,14
"LOC111321724",1,6,1,2,0,0,4,1,2,2
"LOC111321701",11,9,2,1,1,2,3,4,2,8
"LOC111322285",7,14,6,2,5,7,5,6,7,8
"LOC111321269",49,63,19,22,32,31,38,54,49,55
"LOC111320739",9,12,2,3,0,3,7,2,5,10
"LOC111320759",154,143,99,62,79,64,34,88,80,51
