no,area µm²,perimeter µm,area_mm²,perim_mm,Volume mm³,morph,file name,,if error to check for bad imaging,
109,666304.566,3570.924,0.6663,3.5709,0.2366,NF,01-04-2025-1756_Stemi 305_0.8x_NF-06,good for photo,0.2366,
110,1048339.342,5002.858,1.0483,5.0029,0.3974,NF,01-04-2025-1756_Stemi 305_0.8x_NF-05,,0.3974,
111,731458.041,3860.606,0.7315,3.8606,0.2593,NF,01-04-2025-1756_Stemi 305_0.8x_NF-04,good for photo,0.2593,
112,947598.65,4911.262,0.9476,4.9113,0.3270,NF,01-04-2025-1756_Stemi 305_0.8x_NF-03,good for photo,0.3270,
113,862786.704,4529.124,0.8628,4.5291,0.2975,NF,01-04-2025-1756_Stemi 305_0.8x_NF-03,good for photo,0.2975,
114,973989.364,5062.044,0.9740,5.0620,0.3334,NF,01-04-2025-1756_Stemi 305_0.8x_NF-02,good for photo,0.3334,
115,887334.909,4689.084,0.8873,4.6891,0.3017,NF,01-04-2025-1756_Stemi 305_0.8x_NF,,0.3017,
116,747354.839,3959.488,0.7474,3.9595,0.2621,NF,01-04-2025-1755_Stemi 305_0.8x_NF-02,,0.2621,
117,1076783.963,5093.882,1.0768,5.0939,0.4110,NF,01-04-2025-1755_Stemi 305_0.8x_NF,,0.4110,
118,777081.759,4031.101,0.7771,4.0311,0.2786,NF,01-04-2025-1748_Stemi 305_0.8x_NF-02,good for photo,0.2786,
119,788809.648,4018.437,0.7888,4.0184,0.2894,NF,01-04-2025-1748_Stemi 305_0.8x_NF,good for photo,0.2894,
120,869722.42,4110.752,0.8697,4.1108,0.3486,NF,01-04-2025-1748_Stemi 305_0.8x_NF,,0.3486,
121,995134.62,4495.002,0.9951,4.4950,0.4126,NF,01-04-2025-1744_Stemi 305_0.8x_NF-05,,0.4126,
122,1023322.912,4590.527,1.0233,4.5905,0.4258,NF,01-04-2025-1744_Stemi 305_0.8x_NF-05,,0.4258,
123,959364.846,5246.835,0.9594,5.2468,0.3081,NF,01-04-2025-1744_Stemi 305_0.8x_NF-04,good for photo,0.3081,
124,864143.365,4659.35,0.8641,4.6594,0.2873,NF,01-04-2025-1744_Stemi 305_0.8x_NF-03,good for photo,0.2873,
125,690330.762,4140.218,0.6903,4.1402,0.2068,NF,01-04-2025-1744_Stemi 305_0.8x_NF-03,,0.2068,
126,878649.365,4487.363,0.8786,4.4874,0.3137,NF,01-04-2025-1744_Stemi 305_0.8x_NF-03,,0.3137,
127,960758.126,4268.195,0.9608,4.2682,0.4126,NF,01-04-2025-1744_Stemi 305_0.8x_NF-02,,0.4126,
128,875938.23,4136.757,0.8759,4.1368,0.3509,NF,01-04-2025-1744_Stemi 305_0.8x_NF,,0.3509,
129,952434.318,4331.705,0.9524,4.3317,0.3953,NF,01-04-2025-1743_Stemi 305_0.8x_NF-04,,0.3953,
130,789365.563,3646.306,0.7894,3.6463,0.3392,NF,01-04-2025-1743_Stemi 305_0.8x_NF-03,,0.3392,
131,823439.607,4102.288,0.8234,4.1023,0.3091,NF,01-04-2025-1743_Stemi 305_0.8x_NF-02,good for photo,0.3091,
132,821809.279,4215.282,0.8218,4.2153,0.2957,NF,01-04-2025-1743_Stemi 305_0.8x_NF,,0.2957,
133,1060821.216,4992.766,1.0608,4.9928,0.4089,NF,01-04-2025-1740_Stemi 305_0.8x_NF-04,good for photo,0.4089,
134,1008512.507,4469.682,1.0085,4.4697,0.4289,NF,01-04-2025-1740_Stemi 305_0.8x_NF-03,,0.4289,
135,1421411.705,5770.686,1.4214,5.7707,0.6356,NF,01-04-2025-1740_Stemi 305_0.8x_NF-02,,0.6356,
136,982162.964,4546.832,0.9822,4.5468,0.3939,NF,01-04-2025-1740_Stemi 305_0.8x_NF-02,,0.3939,
137,785297.97,4061.931,0.7853,4.0619,0.2820,NF,01-04-2025-1740_Stemi 305_0.8x_NF-02,,0.2820,
138,832213.773,4427.691,0.8322,4.4277,0.2837,NF,01-04-2025-1739_Stemi 305_0.8x_NF-07,good for photo,0.2837,
