pathway,enriched_in,pval,padj,log2err,ES,NES,size,leadingEdge
Glycosphingolipid catabolism,HF,0.00088744373513012,0.0103344254316766,0.477270815362862,0.462579941149507,1.70321303653537,80,LOC111324504;LOC111334156;LOC111346317;LOC111336425;LOC111337168;LOC111341376;LOC111330991;LOC111325383;LOC111329411;LOC111333097;LOC111336363;LOC111331558;LOC111331721;LOC111320587;LOC111342381;LOC111331719;LOC111321885;LOC111329096;LOC111338570;LOC111338571;LOC111343383;LOC111341997;LOC111334444;LOC111343887;LOC111326859;LOC111330295;LOC111331204;LOC111325218;LOC111325484;LOC111337344;LOC111325845;LOC111336143;LOC111344350;LOC111335880
Plasmalogen biosynthesis,HF,0.00101328086688695,0.0114310747795684,0.45505986738723,0.415511655400532,1.60223571712933,114,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111344894;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111322222;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Anchoring fibril formation,HF,0.00119507639732034,0.0119839605397956,0.45505986738723,0.481235513174042,1.71718480812696,69,LOC111327880;LOC111329099;LOC111327333;LOC111333986;LOC111331324;LOC111336934;LOC111338412;LOC111338418;LOC111327334;LOC111321680;LOC111342546;LOC111322245;LOC111322209;LOC111327524;LOC111323816;LOC111323194;LOC111338165
Androgen biosynthesis,HF,0.00116617618635616,0.0119839605397956,0.45505986738723,0.416486571081047,1.60215686379612,112,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111341682;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Crosslinking of collagen fibrils,HF,0.00119507639732034,0.0119839605397956,0.45505986738723,0.481235513174042,1.71718480812696,69,LOC111327880;LOC111329099;LOC111327333;LOC111333986;LOC111331324;LOC111336934;LOC111338412;LOC111338418;LOC111327334;LOC111321680;LOC111342546;LOC111322245;LOC111322209;LOC111327524;LOC111323816;LOC111323194;LOC111338165
Bicarbonate transporters,HF,0.0014461860603864,0.0127334918975485,0.45505986738723,0.412971758836174,1.58010788135476,109,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Biosynthesis of Lipoxins (LX),HF,0.0014461860603864,0.0127334918975485,0.45505986738723,0.412971758836174,1.58010788135476,109,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
The retinoid cycle in cones (daylight vision),HF,0.0014461860603864,0.0127334918975485,0.45505986738723,0.412971758836174,1.58010788135476,109,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Wax biosynthesis,HF,0.0014461860603864,0.0127334918975485,0.45505986738723,0.412971758836174,1.58010788135476,109,LOC111338999;LOC111346087;LOC111340822;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
Synthesis of PIPs at the ER membrane,HF,0.00172324946503422,0.0148117394494608,0.45505986738723,0.392158698572831,1.54551387633832,131,LOC111342023;LOC111333613;LOC111345144;LOC111335732;LOC111328517;LOC111325968;LOC111333625;LOC111340901;LOC111335293;LOC111337925;LOC111338267;LOC111325894;LOC111342867;LOC111332928;LOC111335069;LOC111330590;LOC111335093;LOC111339157;LOC111340446;LOC111334882;LOC111343604;LOC111325725;LOC111322622;LOC111326832;LOC111329394;LOC111328302;LOC111320967;LOC111337253;LOC111327520;LOC111332070;LOC111326712;LOC111336921;LOC111322444;LOC111337864;LOC111322664;LOC111338467;LOC111334959;LOC111341008;LOC111337217;LOC111322290;LOC111332953;LOC111343037;LOC111328053;LOC111341697;LOC111334600;LOC111344537;LOC111334461
